Marina Rei;Musica;141381703
Stive Morgan;Love Planet;133716286
unknown;Loving Every Minute;140003974
Rixton;Me And My Broken Heart;800840817
Henry Hall & His Gleneagles Hotel Band;Home;303236322
unknown;unknown;5582142
unknown;Riviera;725980112
Andrew Paul Woodworth;The Name of This Next Song Is Called;58149378
Pillar Point;Dove;95217315
Steve Campbell;Morning Dew;553634067
David Civera;Bye Bye;505671438
Lumipa Beats;Cludo;58255150
Henning Wehland;Räuber und Gendarm;1316855716
Пётр Каледин;Пойти и не вернуться. Глава 1;387570742
ChinKong;Live Life;2513188493
Albatraoz;General Zod;1163093654
Pugs Atomz;No Love;496795686
Zak Moore;Feel Good;30546883
Kendra Springer;Sonora;335222234
Nathalie Cardone;Hasta Siempre;363369738
Snowday;Patterns;86444842
Swords;I Didn't Understand;52135248
Montezuma's Revenge;My God Is a Bad Cop;1297026226
unknown;Lightspeed;200647221
Музыка для изучения;Инструментальная музыка;115364561
A-Life;Don't Hurt Me;78300654
Peter Holzmann;The Seasons Op. 37A  (August  The Harvest): VIII. Allegro vivace;899183384
Heathers;Forget Me Knots;61245289
IRISHA;You Lose;429829812
Tigerlily;KICK BOOM;127408954
Orinoco Haven;Don't Dream It's Over;22581161
unknown;La Tortura;52294266
unknown;It's So Easy!;843957510
Yngnfrsh;Future Baby Mama;999748277
Sen-dla & Lotus;Nochmal Von Vorn;618990393
Merwan Rim;Sofia;123122413
Watchout! Theres Ghosts;Never You;188933502
The Jeremy Spencer Band;Cool Breeze;1355959075
The Rubix Cube's;"Girls Just Want to Have Fun (From ""Bioshock Infinite"")";786181836
Luca Turilli's Rhapsody;Il Cigno Nero;176553476
Мария  Матвеева;Принцесса Укок;354495408
Lou Reed;Ride Into the Sun;2808096550
Emanuel Borok Cullan Bryant;Love's Sorrow;1109433169
Echoes The Fall;Eye Of The Tiger;1047101291
Psycho 44;All My Demons Have Distortion;65156199
Чёрный Кузнец;Дубль один;570515054
unknown;Born to Party;1085685420
Ming;Claim Earth;1647990401
Zcr;Разбегается на куски;2565529693
Limousine;A Drive;518745108
Дуэт «Алмас»;Люби меня люби;107753850
Ricardo Piedra;Shooting Stars;177740666
Лінія Маннергейма;Навчи;153372011
Hellogoodbye;Finding Something To Do;57876440
The Contemporary Noise Sextet;Bitches Tune;1813673666
The Rock Kid Heroes;Bawitdaba (Made Famous by Kid Rock);3703895074
Meditation Spa Society;From the End of Light;256483385
Red Nose Rudolph;Rudolph the Red Nose Reindeer;1214083358
Sweet Dreams Project (Dj Sergey Zevs and Kristina Dolce);Me Is Not Pain;1122571
Matt Sadler;The Biker Bar;812019557
Loon;Do What You Like (Featuring Trina);111947664
Domo Wilson;I Wanna Be Me;156338624
Blex;Promesa de Amor;720434240
Cypress Spring;Bootleg Style;357925728
Кооперативыништяк;Солнце похожее на тебя;674072710
Shirley Holmes;1 + 1 + 1;404562836
KHARO;Wrap Em;373199958
Koufequin;Vamos a la Música;14780425
PUNXXX;Не по пути;39578178
NeuRuTics;Северный олень;54266102
Ritmo Natural;Cumbia Cha Cha;2557975762
Kake Randelin;Rakkautta ja rahaa;2417419
Serious Black;I Seek No Other Life;2282771485
Ana Cañas;Eu Dou;1356565093
Jennifer Warnes;Up Where We Belong;1592909789
Delroy Edwards;Killer Charlie;635412045
